"exp_index","subject","block","accuracy","probability_10","observer","outcome","evaluation"
"exp1",39,"actor",0.6,21,NA,NA,NA
"exp1",39,"actor",0.7,17,NA,NA,NA
"exp1",39,"actor",0.8,100,NA,NA,NA
"exp1",39,"actor",0.9,100,NA,NA,NA
"exp1",39,"actor",1,100,NA,NA,NA
"exp1",40,"actor",0,100,NA,NA,NA
"exp1",40,"actor",0.1,97,NA,NA,NA
"exp1",40,"actor",0.2,100,NA,NA,NA
"exp1",40,"actor",0.3,100,NA,NA,NA
"exp1",40,"actor",0.4,0,NA,NA,NA
"exp1",40,"actor",0.5,0,NA,NA,NA
"exp1",40,"actor",0.6,0,NA,NA,NA
"exp1",40,"actor",0.7,1,NA,NA,NA
"exp1",40,"actor",0.8,87,NA,NA,NA
"exp1",40,"actor",0.9,92,NA,NA,NA
"exp1",40,"actor",1,95,NA,NA,NA
"exp1",41,"actor",0,88,NA,NA,NA
"exp1",41,"actor",0.1,69,NA,NA,NA
"exp1",41,"actor",0.2,79,NA,NA,NA
"exp1",41,"actor",0.3,50,NA,NA,NA
"exp1",41,"actor",0.4,43,NA,NA,NA
"exp1",41,"actor",0.5,14,NA,NA,NA
"exp1",41,"actor",0.6,54,NA,NA,NA
"exp1",41,"actor",0.7,31,NA,NA,NA
"exp1",41,"actor",0.8,33,NA,NA,NA
"exp1",41,"actor",0.9,31,NA,NA,NA
"exp1",41,"actor",1,11,NA,NA,NA
"exp1",42,"actor",0,95,NA,NA,NA
"exp1",42,"actor",0.1,84,NA,NA,NA
"exp1",42,"actor",0.2,90,NA,NA,NA
"exp1",42,"actor",0.3,22,NA,NA,NA
"exp1",42,"actor",0.4,19,NA,NA,NA
"exp1",42,"actor",0.5,29,NA,NA,NA
"exp1",42,"actor",0.6,30,NA,NA,NA
"exp1",42,"actor",0.7,26,NA,NA,NA
"exp1",42,"actor",0.8,92,NA,NA,NA
"exp1",42,"actor",0.9,85,NA,NA,NA
"exp1",42,"actor",1,99,NA,NA,NA
"exp1",43,"actor",0,0,NA,NA,NA
"exp1",43,"actor",0.1,0,NA,NA,NA
"exp1",43,"actor",0.2,0,NA,NA,NA
"exp1",43,"actor",0.3,0,NA,NA,NA
"exp1",43,"actor",0.4,0,NA,NA,NA
"exp1",43,"actor",0.5,0,NA,NA,NA
"exp1",43,"actor",0.6,0,NA,NA,NA
"exp1",43,"actor",0.7,0,NA,NA,NA
"exp1",43,"actor",0.8,0,NA,NA,NA
"exp1",43,"actor",0.9,0,NA,NA,NA
"exp1",43,"actor",1,0,NA,NA,NA
"exp1",44,"actor",0,50,NA,NA,NA
"exp1",44,"actor",0.1,3,NA,NA,NA
"exp1",44,"actor",0.2,4,NA,NA,NA
"exp1",44,"actor",0.3,8,NA,NA,NA
"exp1",44,"actor",0.4,0,NA,NA,NA
"exp1",44,"actor",0.5,2,NA,NA,NA
"exp1",44,"actor",0.6,1,NA,NA,NA
"exp1",44,"actor",0.7,3,NA,NA,NA
"exp1",44,"actor",0.8,56,NA,NA,NA
"exp1",44,"actor",0.9,31,NA,NA,NA
"exp1",44,"actor",1,100,NA,NA,NA
"exp1",45,"actor",0,50,NA,NA,NA
"exp1",45,"actor",0.1,50,NA,NA,NA
"exp1",45,"actor",0.2,50,NA,NA,NA
"exp1",45,"actor",0.3,50,NA,NA,NA
"exp1",45,"actor",0.4,0,NA,NA,NA
"exp1",45,"actor",0.5,13,NA,NA,NA
"exp1",45,"actor",0.6,22,NA,NA,NA
"exp1",45,"actor",0.7,6,NA,NA,NA
"exp1",45,"actor",0.8,27,NA,NA,NA
"exp1",45,"actor",0.9,25,NA,NA,NA
"exp1",45,"actor",1,50,NA,NA,NA
"exp1",46,"actor",0,100,NA,NA,NA
"exp1",46,"actor",0.1,100,NA,NA,NA
"exp1",46,"actor",0.2,96,NA,NA,NA
"exp1",46,"actor",0.3,100,NA,NA,NA
"exp1",46,"actor",0.4,4,NA,NA,NA
"exp1",46,"actor",0.5,0,NA,NA,NA
"exp1",46,"actor",0.6,0,NA,NA,NA
"exp1",46,"actor",0.7,0,NA,NA,NA
"exp1",46,"actor",0.8,100,NA,NA,NA
"exp1",46,"actor",0.9,95,NA,NA,NA
"exp1",46,"actor",1,0,NA,NA,NA
"exp1",47,"actor",0,50,NA,NA,NA
"exp1",47,"actor",0.1,50,NA,NA,NA
"exp1",47,"actor",0.2,50,NA,NA,NA
"exp1",47,"actor",0.3,52,NA,NA,NA
